微博热搜榜 Top 20 - 2026-02-12
==================================================

1. 男子用AI一夜赚够一线房首付
   热度: 1229296
   链接: https://s.weibo.com/weibo?q=%E7%94%B7%E5%AD%90%E7%94%A8AI%E4%B8%80%E5%A4%9C%E8%B5%9A%E5%A4%9F%E4%B8%80%E7%BA%BF%E6%88%BF%E9%A6%96%E4%BB%98

2. 2025年全国结婚登记676.3万对
   热度: 561249
   链接: https://s.weibo.com/weibo?q=2025%E5%B9%B4%E5%85%A8%E5%9B%BD%E7%BB%93%E5%A9%9A%E7%99%BB%E8%AE%B0676.3%E4%B8%87%E5%AF%B9

3. 中国人离登月又近了一步
   热度: 12106
   链接: https://s.weibo.com/weibo?q=%E4%B8%AD%E5%9B%BD%E4%BA%BA%E7%A6%BB%E7%99%BB%E6%9C%88%E5%8F%88%E8%BF%91%E4%BA%86%E4%B8%80%E6%AD%A5

4. 上淘宝春节不打烊年货小时达
   热度: 0
   链接: https://s.weibo.com/weibo?q=%E4%B8%8A%E6%B7%98%E5%AE%9D%E6%98%A5%E8%8A%82%E4%B8%8D%E6%89%93%E7%83%8A%E5%B9%B4%E8%B4%A7%E5%B0%8F%E6%97%B6%E8%BE%BE

5. 玫瑰丛生定档
   热度: 348638
   链接: https://s.weibo.com/weibo?q=%E7%8E%AB%E7%91%B0%E4%B8%9B%E7%94%9F%E5%AE%9A%E6%A1%A3

6. 李健 春晚
   热度: 341226
   链接: https://s.weibo.com/weibo?q=%E6%9D%8E%E5%81%A5%20%E6%98%A5%E6%99%9A

7. 两名小孩扔爆竹致1200年古树起火
   热度: 258826
   链接: https://s.weibo.com/weibo?q=%E4%B8%A4%E5%90%8D%E5%B0%8F%E5%AD%A9%E6%89%94%E7%88%86%E7%AB%B9%E8%87%B41200%E5%B9%B4%E5%8F%A4%E6%A0%91%E8%B5%B7%E7%81%AB

8. 律师说法
   热度: 0
   链接: https://s.weibo.com/weibo?q=%E5%BE%8B%E5%B8%88%E8%AF%B4%E6%B3%95

9. 生小孩需要一个发达的前额叶
   热度: 208978
   链接: https://s.weibo.com/weibo?q=%E7%94%9F%E5%B0%8F%E5%AD%A9%E9%9C%80%E8%A6%81%E4%B8%80%E4%B8%AA%E5%8F%91%E8%BE%BE%E7%9A%84%E5%89%8D%E9%A2%9D%E5%8F%B6

10. 中国速滑米兰冬奥首枚奖牌
   热度: 201108
   链接: https://s.weibo.com/weibo?q=%E4%B8%AD%E5%9B%BD%E9%80%9F%E6%BB%91%E7%B1%B3%E5%85%B0%E5%86%AC%E5%A5%A5%E9%A6%96%E6%9E%9A%E5%A5%96%E7%89%8C

11. 飞驰人生 全男班宣发
   热度: 197023
   链接: https://s.weibo.com/weibo?q=%E9%A3%9E%E9%A9%B0%E4%BA%BA%E7%94%9F%20%E5%85%A8%E7%94%B7%E7%8F%AD%E5%AE%A3%E5%8F%91

12. 从Deepseek到Seedance中国AI成了
   热度: 196779
   链接: https://s.weibo.com/weibo?q=%E4%BB%8EDeepseek%E5%88%B0Seedance%E4%B8%AD%E5%9B%BDAI%E6%88%90%E4%BA%86

13. 李一桐发了49999的红包
   热度: 620924
   链接: https://s.weibo.com/weibo?q=%E6%9D%8E%E4%B8%80%E6%A1%90%E5%8F%91%E4%BA%8649999%E7%9A%84%E7%BA%A2%E5%8C%85

14. 陈妍希官宣喜综
   热度: 434809
   链接: https://s.weibo.com/weibo?q=%E9%99%88%E5%A6%8D%E5%B8%8C%E5%AE%98%E5%AE%A3%E5%96%9C%E7%BB%BC

15. 当街摔死多只兔子摊贩被行拘5天
   热度: 378107
   链接: https://s.weibo.com/weibo?q=%E5%BD%93%E8%A1%97%E6%91%94%E6%AD%BB%E5%A4%9A%E5%8F%AA%E5%85%94%E5%AD%90%E6%91%8A%E8%B4%A9%E8%A2%AB%E8%A1%8C%E6%8B%985%E5%A4%A9

16. 孙颖莎ELLE 6个封面
   热度: 348210
   链接: https://s.weibo.com/weibo?q=%E5%AD%99%E9%A2%96%E8%8E%8EELLE%206%E4%B8%AA%E5%B0%81%E9%9D%A2

17. 闵熙珍胜诉
   热度: 321892
   链接: https://s.weibo.com/weibo?q=%E9%97%B5%E7%86%99%E7%8F%8D%E8%83%9C%E8%AF%89

18. 李一桐高情商公关
   热度: 616299
   链接: https://s.weibo.com/weibo?q=%E6%9D%8E%E4%B8%80%E6%A1%90%E9%AB%98%E6%83%85%E5%95%86%E5%85%AC%E5%85%B3

19. 九图速览新春礼包含金量
   热度: 11876
   链接: https://s.weibo.com/weibo?q=%E4%B9%9D%E5%9B%BE%E9%80%9F%E8%A7%88%E6%96%B0%E6%98%A5%E7%A4%BC%E5%8C%85%E5%90%AB%E9%87%91%E9%87%8F

20. 孙颖莎ELLE
   热度: 255233
   链接: https://s.weibo.com/weibo?q=%E5%AD%99%E9%A2%96%E8%8E%8EELLE

