微博热搜榜 Top 20 - 2026-05-06
==================================================

1. 女子秋千坠亡事发地瀑布落差168米
   热度: 2548236
   链接: https://s.weibo.com/weibo?q=%E5%A5%B3%E5%AD%90%E7%A7%8B%E5%8D%83%E5%9D%A0%E4%BA%A1%E4%BA%8B%E5%8F%91%E5%9C%B0%E7%80%91%E5%B8%83%E8%90%BD%E5%B7%AE168%E7%B1%B3

2. 淘宝免单轮番上阵
   热度: 730683
   链接: https://s.weibo.com/weibo?q=%E6%B7%98%E5%AE%9D%E5%85%8D%E5%8D%95%E8%BD%AE%E7%95%AA%E4%B8%8A%E9%98%B5

3. 以旧换新加力扩围掀起消费新热潮
   热度: 26262
   链接: https://s.weibo.com/weibo?q=%E4%BB%A5%E6%97%A7%E6%8D%A2%E6%96%B0%E5%8A%A0%E5%8A%9B%E6%89%A9%E5%9B%B4%E6%8E%80%E8%B5%B7%E6%B6%88%E8%B4%B9%E6%96%B0%E7%83%AD%E6%BD%AE

4. 王心凌演出被镭射激光烫到腿
   热度: 1238338
   链接: https://s.weibo.com/weibo?q=%E7%8E%8B%E5%BF%83%E5%87%8C%E6%BC%94%E5%87%BA%E8%A2%AB%E9%95%AD%E5%B0%84%E6%BF%80%E5%85%89%E7%83%AB%E5%88%B0%E8%85%BF

5. 下午洗澡是一种混沌的感觉
   热度: 808678
   链接: https://s.weibo.com/weibo?q=%E4%B8%8B%E5%8D%88%E6%B4%97%E6%BE%A1%E6%98%AF%E4%B8%80%E7%A7%8D%E6%B7%B7%E6%B2%8C%E7%9A%84%E6%84%9F%E8%A7%89

6. 谢娜演唱会上座率
   热度: 873616
   链接: https://s.weibo.com/weibo?q=%E8%B0%A2%E5%A8%9C%E6%BC%94%E5%94%B1%E4%BC%9A%E4%B8%8A%E5%BA%A7%E7%8E%87

7. 高速全面免费还有多远
   热度: 659420
   链接: https://s.weibo.com/weibo?q=%E9%AB%98%E9%80%9F%E5%85%A8%E9%9D%A2%E5%85%8D%E8%B4%B9%E8%BF%98%E6%9C%89%E5%A4%9A%E8%BF%9C

8. 这是哪个医学天才穿越到他身上了
   热度: 472514
   链接: https://s.weibo.com/weibo?q=%E8%BF%99%E6%98%AF%E5%93%AA%E4%B8%AA%E5%8C%BB%E5%AD%A6%E5%A4%A9%E6%89%8D%E7%A9%BF%E8%B6%8A%E5%88%B0%E4%BB%96%E8%BA%AB%E4%B8%8A%E4%BA%86

9. 汉坦病毒疫情
   热度: 438232
   链接: https://s.weibo.com/weibo?q=%E6%B1%89%E5%9D%A6%E7%97%85%E6%AF%92%E7%96%AB%E6%83%85

10. 詹姆斯尽力局
   热度: 209468
   链接: https://s.weibo.com/weibo?q=%E8%A9%B9%E5%A7%86%E6%96%AF%E5%B0%BD%E5%8A%9B%E5%B1%80

11. 悬崖秋千坠亡女子疑似年仅16岁
   热度: 3867650
